MakeID,MakeName,ModelID,ModelName,BodyID,BodyType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7,Dodge,881,Medium/Heavy – CBE,60,Step van,1,3,8,4,1,1,11,10,9,18,7
7,Dodge,890,Medium/Heavy – COE entry position unknown,60,Step van,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,883,Medium/Heavy – COE high entry,60,Step van,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,882,Medium/Heavy – COE low entry,60,Step van,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,884,Medium/Heavy –Unknown engine location,60,Step van,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,880,"Medium/Heavy Pickup (pickup-style only – over 10,000 lbs)",67,Medium/Heavy Pickup,7,18,24,13,12,12,32,43,32,33,36
7,Dodge,870,Medium/Heavy Van-Based Vehicle,55,"Van-Based Bus GVWR > 10,000 lbs.",0,1,0,0,0,0,0,0,0,0,0
7,Dodge,9,Mirada,2,"2-door sedan,hardtop,coupe",0,0,0,0,0,0,0,0,0,0,0
7,Dodge,40,Monaco,2,"2-door sedan,hardtop,coupe",0,0,0,0,1,0,0,0,0,0,0
7,Dodge,850,Motor Home,65,Medium/heavy truck based motorhome,1,0,0,0,3,0,0,0,0,0,0
7,Dodge,20,Neon,2,"2-door sedan,hardtop,coupe",142,121,138,113,119,106,83,72,65,51,41
7,Dodge,403,Nitro,14,Compact utility,4,9,6,9,8,12,10,9,5,6,14
7,Dodge,8,Omni/Charger (1983 on),3,3-door/2-door hatchback,1,0,1,0,0,0,0,1,0,0,0
7,Dodge,398,Other (automobile),1,Convertible,2,0,0,0,0,0,1,1,1,0,0
7,Dodge,988,Other (bus),50,School Bus,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,498,Other (light truck),14,Compact utility,0,2,0,3,0,2,3,4,1,0,0
7,Dodge,898,Other (medium/heavy truck),60,Step van,0,0,1,0,0,0,0,0,0,0,0
7,Dodge,998,Other (vehicle),91,Snowmobile,0,0,0,0,1,0,0,0,0,0,0
7,Dodge,3,Polara/Monaco/ Royal Monaco,1,Convertible,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,444,Promaster City,20,Minivan,0,0,0,0,0,1,1,0,5,2,2
7,Dodge,401,RaiderSport,14,Compact utility,0,0,0,1,0,1,0,0,0,0,1
7,Dodge,443,Ram C/V,20,Minivan,0,0,0,0,0,3,1,1,0,1,1
7,Dodge,482,Ram Pickup,31,Standard pickup,440,412,424,434,472,560,522,514,511,483,537
