
"MAKE","MODEL","MODEL_YR","BODY_STYLE","VEHICLE_TYPE","DRIVE_TRAIN","PRODUCTION_RELEASE","VEHICLE_CLASS","BODY_FRAME","NUM_OF_SEATING","SEAT_LOC","SEAT_LOC_COMMENTS","MIN_GROSS_WEIGHT","MAX_GROSS_WEIGHT","UPPER_BELT_ANCHORAGE","UPPER_BELT_ANCHORAGE_LOC","SEAT_BELT_PRETENSIONER","SEAT_BELT_PRETENSIONER_LOC","LOAD_LIMITERS","LOAD_LIMITERS_LOC","FRNT_BELT_INDICATOR","FRNT_BELT_LOC","REAR_BELT_INDICATOR","LATCH_REAR_POSITION","HEAD_SAB","HEAD_SAB_TYPE","HEAD_SAB_LOC","HEAD_SAB_MOUNT_LOC","HEAD_SAB_MEET_REQUIREMENTS","HEAD_SAB_DEPLOY_IN_ROLLOVER","TORSO_SAB","TORSO_SAB_TYPE","TORSO_SAB_LOC","TORSO_SAB_MOUNT_LOC","KNEE_BOLSTERS","KNEE_BOLSTERS_LOC","ADL","HEAD_RESTRAINT_IND","DYNAMIC_HEAD_RESTRAINT_IND","BETI","BLIND_SPOT_DETECTION","DAY_RUN_LIGHTS","ADAPTIVE_CRUISE_CONTROL","ABS","ARS","ARS_LOC","AUTO_CRASH_NOTIFICATION","CRASH_DATA_RECORDER","ANTI_THEFT_DEVICE","ANTI_THEFT_DEVICE_TYPE","FRNT_COLLISION_WARNING","NHTSA_FRNT_COLLISION_WARNING","NHTSA_FCW_EVALUATION","LANE_DEPARTURE_WARNING","NHTSA_LANE_DEPARTURE_WARNING","NHTSA_LDW_EVALUATION","CRASH_IMMINENT_BRAKE","NHTSA_CRASH_IMMINENT_BRAKE","NHTSA_CIB_EVALUATION","DYNAMIC_BRAKE_SUPPORT","NHTSA_DYNAMIC_BRAKE_SUPPORT","NHTSA_DBS_EVALUATION","NHTSA_ESC","PELVIS_SAB","PELVIS_SAB_TYPE","PELVIS_SAB_LOC","PELVIS_SAB_MOUNT_LOC","OVERALL_STARS","FRNT_TEST_NO","FRNT_VIN","FRNT_DRIV_STARS","FRNT_PASS_STARS","FRNT_SAFETY_CONCERN_DRIV","FRNT_SAFETY_CONCERN_PASS","FRNT_FOOT_NOTES","FRNT_FOOT_NOTES_PASS","OVERALL_FRNT_STARS","CURB_WEIGHT","FRNT_TESTED_WITH","HIC15_DRIV","CHEST_DEFL_DRIV","LEFT_FEMUR_DRIV","RIGHT_FEMUR_DRIV","NIJ_DRIV","NECK_TENS_DRIV","NET_COMP_DRIV","HIC15_PASS","CHEST_DEFL_PASS","LEFT_FEMUR_PASS","RIGHT_FEMUR_PASS","NIJ_PASS","NECK_TENS_PASS","NET_COMP_PASS","SIDE_TEST_NO","SIDE_VIN","SIDE_DRIV_STARS","SIDE_PASS_STARS","SIDE_BARRIER_STAR","COMB_FRNT_STAR","COMB_REAR_STAR","SIDE_SAFETY_CONCERN_DRIV","SIDE_SAFETY_CONCERN_PASS","SIDE_FOOT_NOTES","SIDE_FOOT_NOTES_PASS","OVERALL_SIDE_STARS","SIDE_TESTED_WITH","SIDE_HIC_36_DRIV","RIB_DEFLECTION_DRIV","ABDOMEN_FORCE_DRIV","SYMPHYSIS_FORCE_DRIV","SIDE_HIC_36_PASS","PELVIC_FORCE_PASS","POLE_TEST_NO","POLE_VIN","SIDE_POLE_STARS","POLE_SAFETY_CONCERN","POLE_FOOT_NOTES","POLE_TESTED_WITH","POLE_HIC_36_DRIV","PELVIC_FORCE","ROLLOVER_POSSIBILITY","STATIC_STABI_FACTOR","TIP","ROLL_SAFETY_CONCERN","ROLL_FOOT_NOTES","ROLLOVER_STARS","NHTSA_BACKUP_CAMERA","BACKUP_CAMERA"
"FIAT","500e BEV",2017,"3 HB","PC","FWD",1,"PASSENGER CAR","Uni-Body","4","1,3,4,6",,3750,3750,,,"Standard","1,3",,,"Standard","1, 3",,"4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","No","Standard","Pelvic/Torso","1, 3","Seat","Standard","1",,"1, 3, 4, 6","1, 3",,,"Standard",,,,,,"Standard","Standard","(a) Passive Immobilizer, Passive Alarm",,"No",,,"No",,,"No",,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
"FORD","CMAX ENERGI",2017,"5 HB","PC","FWD",1,"PASSENGER CAR","uni-body","5","1, 3, 4, 5, 6",,4960,4960,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1",,"1, 3, 4, 6",,,"Standard","Standard",,,,,"Standard","Standard","Standard","(c) Passive Immobilizer Only",,"No",,,"No",,,"No",,,"No",,,,,,,4,8151,"1FADP5CU8DL520580",4,4,,,,,4,3925,"FRONTAL AIR BAG,KNEE AIR BAG",230.183,18.638,1414.992,2438.747,.4,1401.486,42.783,326.386,10.075,2314.982,2305.656,.47,857.391,217.433,8150,"1FADP5CU1DL520579",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",100.448,31.12,961.594,1335.95,170.385,3325.777,8152,"1FADP5CU1DL519349",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",270.431,4197.894,.147,1.28,"No Tip",,,4,"Optional","Optional"
"FORD","CMAX HEV",2017,"5 HB","PC","FWD",1,"PASSENGER CAR","uni-body","5","1, 3, 4, 5, 6",,4641,4641,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1",,"1, 3, 4, 6",,,"Optional","Standard",,,,,"Standard","Standard","Standard","(c) Passive Immobilizer Only",,"No",,,"No",,,"No",,,"No",,,,,,,4,8071,"1FADP5AU0DL508183",4,4,,,,,4,3637,"TORSO/PELVIS AIR BAG,FRONTAL AIR BAG",184.474,18.137,1461.46,1405.899,.49,1726.361,82.707,308.06,9.957,2291.072,1200.231,.53,808.86,313.89,8069,"1FADP5AU0DL501685",5,5,5,5,5,,,"DURING THE SIDE BARRIER TEST, THE SIDE CURTAIN AIR BAG DEPLOYED ON TOP OF THE REAR PASSENGER DUMMYS HEAD",,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",104.59,24.955,922.457,1585.371,259.231,3619.496,8070,"1FADP5AU4DL506260",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",246.822,4068.545,.143,1.29,"No Tip",,,4,"Optional","Optional"
"FORD","EDGE",2017,"SUV","MPV","AWD",1,"SUV","uni-body","5","1, 3, 4, 5, 6",,5320,5720,"Standard","1, 3","Standard","1,3","Standard","1,3,4,6","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1, 3",,"1, 3, 4, 6",,,"Optional","Standard",,,,,"Standard","Standard","Standard","(a) Passive Immobilizer, Passive Alarm","Optional","Optional",,"Optional","Optional",,"Optional","No",,"Optional","No",,,,,,,5,9250,"2FMTK4J92FBB10997",5,5,,,,,5,4140,"FRONTAL AIR BAG,KNEE AIR BAG",95.795,18.929,1882.755,2285.048,.27,888.733,100.76,208.71,14.986,540.409,111.086,.32,802.226,369.002,9249,"2FMTK3J99FBB08139",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",71.186,14.407,524.886,1249.248,113.528,2878.134,9251,"2FMTK3J80FBB05248",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",297.164,2600.511,.155,1.2599,"No Tip",,,4,"Standard","Standard"
"FORD","EDGE",2017,"SUV","MPV","FWD",1,"SUV","uni-body","5","1, 3, 4, 5, 6",,5320,5720,"Standard","1, 3","Standard","1,3","Standard","1,3,4,6","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1, 3",,"1, 3, 4, 5, 6",,,"Optional","standard",,,,,"Standard","Standard","Standard","(a) Passive Immobilizer, Passive Alarm","Optional","Optional",,"Optional","Optional",,"Optional","No",,"Optional","No",,,,,,,5,9250,"2FMTK4J92FBB10997",5,5,,,,,5,4140,"FRONTAL AIR BAG,KNEE AIR BAG",95.795,18.929,1882.755,2285.048,.27,888.733,100.76,208.71,14.986,540.409,111.086,.32,802.226,369.002,9249,"2FMTK3J99FBB08139",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",71.186,14.407,524.886,1249.248,113.528,2878.134,9251,"2FMTK3J80FBB05248",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",297.164,2600.511,.154,1.2618,"No Tip",,,4,"Standard","Standard"
"FORD","ESCAPE",2017,"SUV","MPV","AWD",1,"SUV","uni-body","5","1, 3, 4, 5, 6",,4620,4916,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1",,"1, 3, 4, 5, 6",,,"Optional","standard",,,,,"Standard","Standard","Standard","(c) Passive Immobilizer Only","Optional","Optional",,"Optional","Optional",,,"No",,,"No",,,,,,,5,9762,"1FMCU9GD9HUA11237",5,4,,,,,5,3652,"FRONTAL AIR BAG,KNEE AIR BAG",198.073,17.836,883.493,1831.677,.28,1083.79,112.363,289.588,12.708,1878.644,1073.412,.4,968.226,376.852,7936,"1FMCU0F77DUA20309",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",110.027,9.909,428.868,1559.554,290.132,2887.981,7935,"1FMCU0F73DUA20310",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",356.509,3144.494,.185,1.2,"No Tip",,,4,"Standard","Standard"
"FORD","ESCAPE",2017,"SUV","MPV","FWD",1,"SUV","uni-body","5","1, 3, 4, 5, 6",,4620,4916,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1, 3","No","4, 6","Standard","Curtain","1, 3, 4, 6","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","1",,"1, 3, 4, 5, 6",,,"Optional","standard",,,,,"Standard","Standard","Standard","(c) Passive Immobilizer Only","Optional","Optional",,"Optional","Optional",,,"No",,,"No",,,,,,,5,9762,"1FMCU9GD9HUA11237",5,4,,,,,5,3652,"FRONTAL AIR BAG,KNEE AIR BAG",198.073,17.836,883.493,1831.677,.28,1083.79,112.363,289.588,12.708,1878.644,1073.412,.4,968.226,376.852,7936,"1FMCU0F77DUA20309",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",110.027,9.909,428.868,1559.554,290.132,2887.981,7935,"1FMCU0F73DUA20310",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",356.509,3144.494,.191,1.19,"No Tip",,,4,"Standard","Standard"
"FORD","EXPEDITION",2017,"SUV","MPV","4x2",1,"SUV","body-on-frame","7 or 8"," 8 = 1,3,4,5,6,7,8,9; 7 = 1,3,4,6,7,8,9",,7260,7500,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1","No","4, (5), 6","Standard","Curtain","1, 3, 4, 6, 7, 9","Roof","Yes","Yes","Standard","Torso","1, 3","Seat","No",,,"1, 3, 4, 6, 7, 9",,,"Optional","Optional - fleet only",,,,,"Optional","Standard","Standard","(a) Passive Immobilizer, Passive Alarm",,"No",,,"No",,,"No",,,"No",,,,,,,5,9051,"1FMJK1JT2FEF06501",5,5,,,,,5,6125,"FRONTAL AIR BAG",141.972,22.197,3352.022,1447.322,.22,1079.368,97.531,273.145,10.223,1246.026,2040.573,.25,823.854,396.358,9050,"1FMJU1HT5FEF01552",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO AIR BAG",15.72,16.134,283.469,566.642,65.236,973.975,9049,"1FMJU1HT5FEF02927",5,,,"CURTAIN AIR BAG,TORSO AIR BAG",251.056,3798.277,.212,1.16,"No Tip",,,3,"Standard","Standard"
"FORD","EXPEDITION",2017,"SUV","MPV","4x4",1,"SUV","body-on-frame","7 or 8"," 8 = 1,3,4,5,6,7,8,9; 7 = 1,3,4,6,7,8,9",,7260,7500,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1","No","4, (5), 6","Standard","Curtain","1, 3, 4, 6, 7, 9","Roof","Yes","Yes","Standard","Torso","1, 3","Seat","No",,,"1, 3, 4, 6, 7, 9",,,"Optional","Optional - fleet only",,,,,"Optional","Standard","Standard","(a) Passive Immobilizer, Passive Alarm",,"No",,,"No",,,"No",,,"No",,,,,,,5,9051,"1FMJK1JT2FEF06501",5,5,,,,,5,6125,"FRONTAL AIR BAG",141.972,22.197,3352.022,1447.322,.22,1079.368,97.531,273.145,10.223,1246.026,2040.573,.25,823.854,396.358,9050,"1FMJU1HT5FEF01552",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO AIR BAG",15.72,16.134,283.469,566.642,65.236,973.975,9049,"1FMJU1HT5FEF02927",5,,,"CURTAIN AIR BAG,TORSO AIR BAG",251.056,3798.277,.198,1.18,"No Tip",,,4,"Standard","Standard"
"FORD","EXPEDITION EL",2017,"EXTENDED SUV","MPV","4x2",1,"SUV","body-on-frame","7 or 8"," 8 = 1,3,4,5,6,7,8,9; 7 = 1,3,4,6,7,8,9",,7520,7760,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1","No","4, (5), 6","Standard","Curtain","1, 3, 4, 6, 7, 9","Roof","Yes","Yes","Standard","Torso","1, 3","Seat","No",,,"1, 3, 4, 6, 7, 9",,,"Optional","Optional - fleet only",,,,,"Optional","Standard","Standard","(a) Passive Immobilizer, Passive Alarm",,"No",,,"No",,,"No",,,"No",,,,,,,5,9051,"1FMJK1JT2FEF06501",5,5,,,,,5,6125,"FRONTAL AIR BAG",141.972,22.197,3352.022,1447.322,.22,1079.368,97.531,273.145,10.223,1246.026,2040.573,.25,823.854,396.358,9050,"1FMJU1HT5FEF01552",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO AIR BAG",15.72,16.134,283.469,566.642,65.236,973.975,9049,"1FMJU1HT5FEF02927",5,,,"CURTAIN AIR BAG,TORSO AIR BAG",251.056,3798.277,.212,1.16,"No Tip",,,3,"Standard","Standard"
"FORD","EXPEDITION EL",2017,"EXTENDED SUV","MPV","4x4",1,"SUV","body-on-frame","7 or 8"," 8 = 1,3,4,5,6,7,8,9; 7 = 1,3,4,6,7,8,9",,7520,7760,"Standard","1, 3","Standard","1,3","Standard","1,3","Yes","1","No","4, (5), 6","Standard","Curtain","1, 3, 4, 6, 7, 9","Roof","Yes","Yes","Standard","Torso","1, 3","Seat","No",,,"1, 3, 4, 6, 7, 9",,,"Optional","Optional - fleet only",,,,,"Optional","Standard","Standard","(a) Passive Immobilizer, Passive Alarm",,"No",,,"No",,,"No",,,"No",,,,,,,5,9051,"1FMJK1JT2FEF06501",5,5,,,,,5,6125,"FRONTAL AIR BAG",141.972,22.197,3352.022,1447.322,.22,1079.368,97.531,273.145,10.223,1246.026,2040.573,.25,823.854,396.358,9050,"1FMJU1HT5FEF01552",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO AIR BAG",15.72,16.134,283.469,566.642,65.236,973.975,9049,"1FMJU1HT5FEF02927",5,,,"CURTAIN AIR BAG,TORSO AIR BAG",251.056,3798.277,.198,1.18,"No Tip",,,4,"Standard","Standard"
"FORD","EXPLORER",2017,"SUV","MPV","AWD",1,"SUV","uni-body","6 or 7","6 = 1,3,4,6,7,9; 7 =  1,3,4,5,6,7,9",,5980,6400,"Standard","1, 3","Standard","1,3","Standard","1,3,4,6","Yes","1, 3","No","4, 6, 9","Standard","Curtain","1, 3, 4, 6, 7, 9","Roof","Yes","Yes","Standard","Torso/Pelvis","1, 3","Seat","Standard","3",,"1, 3, 4, 6, 7, 9",,,"Optional","Standard",,,,,"Optional","Standard","Standard","(a) Passive Immobilizer, Passive Alarm","Optional","Optional",,"Optional","Optional",,,"No",,,"No",,,,,,,5,7871,"1FM5K8B87DGA12687",4,5,,,,,5,4633,"FRONTAL AIR BAG,KNEE AIR BAG",155.651,24.073,2010.043,2113.016,.36,1358.431,308.613,208.901,11.051,1956.983,2082.221,.31,709.374,136.612,9486,"1FM5K7B88GGA49925",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.1,23.971,708.09,952.288,143.647,3170.931,9485,"1FM5K7B88GGA75084",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",406.578,4041.518,.174,1.22,"No Tip",,,4,"Standard","Standard"
